trial,trial_in_mode,mode,cold_or_warm,turn_end_at_s,first_audio_at_s,latency_ms,timed_out,contaminated_readings,candidate_text,timestamp
30,30,off,warm,126.08,131.14133333333334,5061.333333333338,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:04:29.428Z
31,1,on,cold,3.1013333333333333,3.570666666666667,469.3333333333336,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:04:39.876Z
32,2,on,warm,16.941333333333333,17.392,450.66666666666674,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:04:53.728Z
33,3,on,warm,30.56,31.061333333333334,501.33333333333496,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:05:06.849Z
34,4,on,warm,43.74133333333333,44.2,458.666666666673,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:05:20.528Z
35,5,on,warm,56.98133333333333,57.44,458.6666666666659,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:05:33.759Z
36,6,on,warm,70.98133333333334,71.46133333333333,479.99999999998977,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:05:47.829Z
37,7,on,warm,84.72,85.18133333333333,461.3333333333287,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:06:01.563Z
38,8,on,warm,98.512,98.98133333333334,469.3333333333385,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:06:15.340Z
39,9,on,warm,112.46133333333333,112.98133333333334,520.0000000000102,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:06:28.896Z
40,10,on,warm,125.86133333333333,126.33066666666667,469.3333333333385,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:06:42.664Z
41,11,on,warm,140.08,140.57066666666665,490.66666666664105,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:06:57.441Z
42,12,on,warm,153.912,154.38133333333334,469.3333333333385,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:07:10.736Z
43,13,on,warm,167.592,168.08,487.99999999999955,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:07:24.491Z
44,14,on,warm,181.30133333333333,181.76,458.6666666666588,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:07:38.161Z
45,15,on,warm,195.112,195.592,480.0000000000182,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:07:51.504Z
46,16,on,warm,208.512,208.992,479.99999999998977,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:08:04.893Z
47,17,on,warm,221.952,222.432,479.99999999998977,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:08:18.838Z
48,18,on,warm,235.752,236.22133333333332,469.33333333331007,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:08:32.651Z
49,19,on,warm,249.592,250.05066666666667,458.6666666666588,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:08:46.406Z
50,20,on,warm,263.22133333333335,263.6906666666667,469.3333333333385,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:08:59.586Z
51,21,on,warm,276.5706666666667,277.05066666666664,479.99999999996135,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:09:13.511Z
52,22,on,warm,290.552,291.04,487.99999999999955,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:09:26.974Z
53,23,on,warm,303.752,304.232,480.0000000000182,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:09:40.264Z
54,24,on,warm,316.992,317.4506666666667,458.6666666666588,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:09:54.568Z
55,25,on,warm,331.64,332.09066666666666,450.66666666667743,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:10:07.932Z
56,26,on,warm,344.8,345.30133333333333,501.33333333332075,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:10:21.805Z
57,27,on,warm,359.872,360.3706666666667,498.66666666667925,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:10:38.412Z
58,28,on,warm,375.29066666666665,375.78133333333335,490.6666666666979,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:10:52.259Z
59,29,on,warm,389.09066666666666,389.5706666666667,480.0000000000182,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:11:05.602Z
60,30,on,warm,402.4506666666667,402.9413333333333,490.66666666664105,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:11:19.404Z
